x-axis,1,NO_LBL
second,Volt,Volt
-1.9434000E+00,+215.2060E-03,+4.9849246E+00
-1.9432000E+00,+215.2060E-03,+4.9849246E+00
-1.9430000E+00,+215.2060E-03,+4.9849246E+00
-1.9428000E+00,+215.2060E-03,+4.9849246E+00
-1.9426000E+00,+215.2060E-03,+4.9849246E+00
-1.9424000E+00,+134.8040E-03,+4.9849246E+00
-1.9422000E+00,+134.8040E-03,+4.9849246E+00
-1.9420000E+00,+134.8040E-03,+4.9849246E+00
-1.9418000E+00,+215.2060E-03,+4.9849246E+00
-1.9416000E+00,+215.2060E-03,+4.9045226E+00
-1.9414000E+00,+215.2060E-03,+4.9849246E+00
-1.9412000E+00,+215.2060E-03,+4.9849246E+00
-1.9410000E+00,+134.8040E-03,+4.9849246E+00
-1.9408000E+00,+215.2060E-03,+4.9849246E+00
-1.9406000E+00,+215.2060E-03,+4.9849246E+00
-1.9404000E+00,+215.2060E-03,+4.9849246E+00
-1.9402000E+00,+215.2060E-03,+4.9849246E+00
-1.9400000E+00,+215.2060E-03,+4.9849246E+00
-1.9398000E+00,+134.8040E-03,+4.9849246E+00
-1.9396000E+00,+215.2060E-03,+4.9849246E+00
-1.9394000E+00,+134.8040E-03,+4.9045226E+00
-1.9392000E+00,+215.2060E-03,+4.9849246E+00
-1.9390000E+00,+215.2060E-03,+4.9849246E+00
-1.9388000E+00,+215.2060E-03,+4.9849246E+00
-1.9386000E+00,+215.2060E-03,+4.9849246E+00
-1.9384000E+00,+215.2060E-03,+4.9849246E+00
-1.9382000E+00,+215.2060E-03,+4.9849246E+00
-1.9380000E+00,+134.8040E-03,+4.9849246E+00
-1.9378000E+00,+134.8040E-03,+4.9849246E+00
-1.9376000E+00,+215.2060E-03,+4.9849246E+00
-1.9374000E+00,+215.2060E-03,+4.9849246E+00
-1.9372000E+00,+215.2060E-03,+4.9849246E+00
-1.9370000E+00,+215.2060E-03,+4.9849246E+00
-1.9368000E+00,+134.8040E-03,+4.9849246E+00
-1.9366000E+00,+134.8040E-03,+4.9849246E+00
-1.9364000E+00,+215.2060E-03,+4.9849246E+00
-1.9362000E+00,+134.8040E-03,+5.0653266E+00
-1.9360000E+00,+215.2060E-03,+4.9849246E+00
-1.9358000E+00,+134.8040E-03,+4.8241206E+00
-1.9356000E+00,+215.2060E-03,+4.9849246E+00
-1.9354000E+00,+215.2060E-03,+4.9849246E+00
-1.9352000E+00,+215.2060E-03,+4.9849246E+00
-1.9350000E+00,+134.8040E-03,+4.9849246E+00
-1.9348000E+00,+215.2060E-03,+4.9849246E+00
-1.9346000E+00,+215.2060E-03,+4.9849246E+00
-1.9344000E+00,+215.2060E-03,+5.0653266E+00
-1.9342000E+00,+134.8040E-03,+4.9849246E+00
-1.9340000E+00,+215.2060E-03,+4.9849246E+00
-1.9338000E+00,+134.8040E-03,+4.9849246E+00
-1.9336000E+00,+215.2060E-03,+4.9849246E+00
-1.9334000E+00,+215.2060E-03,+4.9849246E+00
-1.9332000E+00,+215.2060E-03,+4.9849246E+00
-1.9330000E+00,+215.2060E-03,+4.9849246E+00
-1.9328000E+00,+215.2060E-03,+4.9849246E+00
-1.9326000E+00,+215.2060E-03,+4.9849246E+00
-1.9324000E+00,+215.2060E-03,+4.9849246E+00
-1.9322000E+00,+215.2060E-03,+4.9849246E+00
-1.9320000E+00,+215.2060E-03,+4.9849246E+00
-1.9318000E+00,+215.2060E-03,+4.9849246E+00
-1.9316000E+00,+215.2060E-03,+4.9849246E+00
-1.9314000E+00,+134.8040E-03,+4.9849246E+00
-1.9312000E+00,+215.2060E-03,+4.9849246E+00
-1.9310000E+00,+134.8040E-03,+4.9849246E+00
-1.9308000E+00,+215.2060E-03,+4.9849246E+00
-1.9306000E+00,+215.2060E-03,+4.9849246E+00
-1.9304000E+00,+215.2060E-03,+4.9849246E+00
-1.9302000E+00,+134.8040E-03,+4.9849246E+00
-1.9300000E+00,+134.8040E-03,+4.9849246E+00
-1.9298000E+00,+134.8040E-03,+4.9849246E+00
-1.9296000E+00,+215.2060E-03,+4.9849246E+00
-1.9294000E+00,+134.8040E-03,+4.9849246E+00
-1.9292000E+00,+215.2060E-03,+4.9849246E+00
-1.9290000E+00,+215.2060E-03,+4.9849246E+00
-1.9288000E+00,+215.2060E-03,+4.9849246E+00
-1.9286000E+00,+134.8040E-03,+4.9849246E+00
-1.9284000E+00,+134.8040E-03,+4.9849246E+00
-1.9282000E+00,+215.2060E-03,+4.9849246E+00
-1.9280000E+00,+215.2060E-03,+4.9849246E+00
-1.9278000E+00,+215.2060E-03,+4.9849246E+00
-1.9276000E+00,+215.2060E-03,+4.9849246E+00
-1.9274000E+00,+134.8040E-03,+4.9849246E+00
-1.9272000E+00,+215.2060E-03,+4.9849246E+00
-1.9270000E+00,+134.8040E-03,+4.9849246E+00
-1.9268000E+00,+215.2060E-03,+4.9849246E+00
-1.9266000E+00,+134.8040E-03,+4.9849246E+00
-1.9264000E+00,+215.2060E-03,+4.9045226E+00
-1.9262000E+00,+215.2060E-03,+4.9849246E+00
-1.9260000E+00,+3.1900804E+00,+4.9849246E+00
-1.9258000E+00,+3.1900804E+00,+4.9045226E+00
-1.9256000E+00,+3.1900804E+00,+5.0653266E+00
-1.9254000E+00,+3.2704824E+00,+4.9849246E+00
-1.9252000E+00,+215.2060E-03,+4.9849246E+00
-1.9250000E+00,+134.8040E-03,+4.9849246E+00
-1.9248000E+00,+134.8040E-03,+4.9849246E+00
-1.9246000E+00,+215.2060E-03,+4.9849246E+00
-1.9244000E+00,+134.8040E-03,+4.9045226E+00
-1.9242000E+00,+215.2060E-03,+4.9849246E+00
-1.9240000E+00,+134.8040E-03,+4.9849246E+00
-1.9238000E+00,+215.2060E-03,+4.9849246E+00
-1.9236000E+00,+134.8040E-03,+4.9849246E+00
-1.9234000E+00,+134.8040E-03,+4.9849246E+00
-1.9232000E+00,+215.2060E-03,+4.9849246E+00
-1.9230000E+00,+134.8040E-03,+4.9849246E+00
-1.9228000E+00,+215.2060E-03,+4.9849246E+00
-1.9226000E+00,+215.2060E-03,+4.9045226E+00
-1.9224000E+00,+215.2060E-03,+4.9849246E+00
-1.9222000E+00,+134.8040E-03,+4.9849246E+00
-1.9220000E+00,+134.8040E-03,+4.9849246E+00
-1.9218000E+00,+215.2060E-03,+4.9849246E+00
-1.9216000E+00,+134.8040E-03,+4.9849246E+00
-1.9214000E+00,+215.2060E-03,+4.9849246E+00
-1.9212000E+00,+215.2060E-03,+4.9849246E+00
-1.9210000E+00,+215.2060E-03,+4.9849246E+00
-1.9208000E+00,+215.2060E-03,+4.9849246E+00
-1.9206000E+00,+215.2060E-03,+4.9849246E+00
-1.9204000E+00,+215.2060E-03,+4.9849246E+00
-1.9202000E+00,+215.2060E-03,+4.9849246E+00
-1.9200000E+00,+215.2060E-03,+4.9849246E+00
-1.9198000E+00,+134.8040E-03,+5.0653266E+00
-1.9196000E+00,+215.2060E-03,+4.9849246E+00
-1.9194000E+00,+215.2060E-03,+4.9849246E+00
-1.9192000E+00,+134.8040E-03,+4.9849246E+00
-1.9190000E+00,+215.2060E-03,+4.9849246E+00
-1.9188000E+00,+215.2060E-03,+4.9849246E+00
-1.9186000E+00,+134.8040E-03,+4.9849246E+00
-1.9184000E+00,+215.2060E-03,+4.9849246E+00
-1.9182000E+00,+215.2060E-03,+4.9045226E+00
-1.9180000E+00,+215.2060E-03,+4.9849246E+00
-1.9178000E+00,+215.2060E-03,+4.9849246E+00
-1.9176000E+00,+215.2060E-03,+4.9849246E+00
-1.9174000E+00,+215.2060E-03,+4.9849246E+00
-1.9172000E+00,+215.2060E-03,+4.9849246E+00
-1.9170000E+00,+215.2060E-03,+4.9849246E+00
-1.9168000E+00,+134.8040E-03,+4.9849246E+00
-1.9166000E+00,+134.8040E-03,+4.9849246E+00
-1.9164000E+00,+215.2060E-03,+4.9849246E+00
-1.9162000E+00,+134.8040E-03,+4.9849246E+00
