x-axis,1,NO_LBL
second,Volt,Volt
-3.377340E+00,+20.020E-03,+498.492E-03
-3.372340E+00,+21.226E-03,+490.452E-03
-3.367340E+00,+20.020E-03,+490.452E-03
-3.362340E+00,+20.020E-03,+498.492E-03
-3.357340E+00,+18.814E-03,+498.492E-03
-3.352340E+00,+18.814E-03,+498.492E-03
-3.347340E+00,+20.020E-03,+498.492E-03
-3.342340E+00,+18.814E-03,+496.080E-03
-3.337340E+00,+18.814E-03,+496.080E-03
-3.332340E+00,+17.206E-03,+498.492E-03
-3.327340E+00,+20.020E-03,+498.492E-03
-3.322340E+00,+16.000E-03,+496.080E-03
-3.317340E+00,+18.814E-03,+498.492E-03
-3.312340E+00,+20.020E-03,+498.492E-03
-3.307340E+00,+20.020E-03,+498.492E-03
-3.302340E+00,+20.020E-03,+492.864E-03
-3.297340E+00,+17.206E-03,+498.492E-03
-3.292340E+00,+20.020E-03,+498.492E-03
-3.287340E+00,+20.020E-03,+498.492E-03
-3.282340E+00,+18.814E-03,+498.492E-03
-3.277340E+00,+20.020E-03,+492.864E-03
-3.272340E+00,+20.020E-03,+498.492E-03
-3.267340E+00,+18.814E-03,+498.492E-03
-3.262340E+00,+17.206E-03,+498.492E-03
-3.257340E+00,+18.814E-03,+498.492E-03
-3.252340E+00,+20.020E-03,+496.080E-03
-3.247340E+00,+18.814E-03,+498.492E-03
-3.242340E+00,+20.020E-03,+498.492E-03
-3.237340E+00,+18.814E-03,+498.492E-03
-3.232340E+00,+20.020E-03,+500.905E-03
-3.227340E+00,+18.814E-03,+498.492E-03
-3.222340E+00,+17.206E-03,+498.492E-03
-3.217340E+00,+17.206E-03,+498.492E-03
-3.212340E+00,+17.206E-03,+498.492E-03
-3.207340E+00,+17.206E-03,+498.492E-03
-3.202340E+00,+18.814E-03,+498.492E-03
-3.197340E+00,+20.020E-03,+498.492E-03
-3.192340E+00,+17.206E-03,+498.492E-03
-3.187340E+00,+18.814E-03,+498.492E-03
-3.182340E+00,+20.020E-03,+498.492E-03
-3.177340E+00,+21.226E-03,+498.492E-03
-3.172340E+00,+18.814E-03,+498.492E-03
-3.167340E+00,+17.206E-03,+492.864E-03
-3.162340E+00,+18.814E-03,+498.492E-03
-3.157340E+00,+20.020E-03,+492.864E-03
-3.152340E+00,+18.814E-03,+492.864E-03
-3.147340E+00,+18.814E-03,+498.492E-03
-3.142340E+00,+16.000E-03,+498.492E-03
-3.137340E+00,+20.020E-03,+498.492E-03
-3.132340E+00,+18.814E-03,+498.492E-03
-3.127340E+00,+20.020E-03,+498.492E-03
-3.122340E+00,+18.814E-03,+498.492E-03
-3.117340E+00,+20.020E-03,+498.492E-03
-3.112340E+00,+20.020E-03,+498.492E-03
-3.107340E+00,+17.206E-03,+498.492E-03
-3.102340E+00,+20.020E-03,+498.492E-03
-3.097340E+00,+18.814E-03,+504.121E-03
